gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000037474	NA	41	33.0	NA	NA
ENSG00000037637	NA	60	54.0	NA	NA
ENSG00000037749	NA	60	41.0	NA	NA
ENSG00000037757	NA	61	33.0	NA	NA
ENSG00000038002	NA	53	29.0	NA	NA
ENSG00000038210	NA	29	13.0	NA	NA
ENSG00000038274	NA	49	25.0	NA	NA
ENSG00000038295	NA	29	23.0	NA	NA
ENSG00000038945	NA	51	36.0	NA	NA
ENSG00000039068	NA	30	27.0	NA	NA
ENSG00000039123	NA	44	24.0	NA	NA
ENSG00000039139	NA	76	57.0	NA	NA
ENSG00000039319	NA	53	41.0	NA	NA
ENSG00000039560	NA	51	33.0	NA	NA
ENSG00000039650	NA	42	29.0	NA	NA
ENSG00000040199	NA	67	26.0	NA	NA
ENSG00000040275	NA	30	1.0	NA	NA
ENSG00000040341	NA	37	26.0	NA	NA
ENSG00000040487	NA	53	22.0	NA	NA
ENSG00000040531	NA	17	12.0	NA	NA
ENSG00000040731	NA	25	14.0	NA	NA
ENSG00000040933	NA	20	19.0	NA	NA
ENSG00000041353	NA	51	29.0	NA	NA
ENSG00000041357	NA	35	17.0	NA	NA
ENSG00000041515	NA	48	26.0	NA	NA
ENSG00000041802	NA	46	38.0	NA	NA
ENSG00000041880	NA	49	19.0	NA	NA
ENSG00000041982	NA	72	53.0	NA	NA
ENSG00000041988	NA	16	7.0	NA	NA
ENSG00000042062	NA	23	10.0	NA	NA
ENSG00000042088	NA	57	40.0	NA	NA
ENSG00000042286	NA	25	23.0	NA	NA
ENSG00000042317	NA	58	34.0	NA	NA
ENSG00000042429	NA	17	13.0	NA	NA
ENSG00000042445	NA	117	70.0	NA	NA
ENSG00000042493	NA	93	60.0	NA	NA
ENSG00000042832	NA	64	48.0	NA	NA
ENSG00000042980	NA	17	16.0	NA	NA
ENSG00000043039	NA	13	12.0	NA	NA
ENSG00000043462	NA	22	10.0	NA	NA
ENSG00000043514	NA	81	48.0	NA	NA
ENSG00000043591	NA	15	13.0	NA	NA
ENSG00000044090	NA	46	14.0	NA	NA
ENSG00000044115	NA	71	32.0	NA	NA
ENSG00000044459	NA	48	33.0	NA	NA
ENSG00000044524	NA	61	38.0	NA	NA
ENSG00000046604	NA	17	11.0	NA	NA
ENSG00000046889	NA	20	14.0	NA	NA
ENSG00000047056	NA	25	12.0	NA	NA
ENSG00000047188	NA	87	62.0	NA	NA
ENSG00000047249	NA	50	32.0	NA	NA
